	placename	longitude	latitude	freq	geometry	id
0	Paris	-553957.6202765539	2155200.804664789	2473.0	POINT (-553957.6202765539 2155200.804664789)	0
1	London	-691159.2769013236	2466065.262581071	2247.0	POINT (-691159.2769013236 2466065.262581071)	1
2	Berlin	228295.87770922156	2534201.357562954	599.0	POINT (228295.87770922156 2534201.357562954)	7
3	St. Petersburg	1114257.5172729476	3503553.8625624687	1574.0	POINT (1114257.5172729476 3503553.8625624687)	2
4	Wien	468038.4707875375	2075517.2563286922	1204.0	POINT (468038.4707875375 2075517.2563286922)	3
5	Madrid	-1165060.9238645933	1302642.4854807733	870.0	POINT (-1165060.9238645933 1302642.4854807733)	5
6	Konstantinopel	1585071.67501981	1468200.1328088385	516.0	POINT (1585071.67501981 1468200.1328088385)	9
7	Brüssel	-392257.3600126043	2360490.761819043	388.0	POINT (-392257.3600126043 2360490.761819043)	11
8	Kopenhagen	159429.77212115252	2877726.8702465496	344.0	POINT (159429.77212115252 2877726.8702465496)	12
9	München	116094.972006668	2048214.6722579987	195.0	POINT (116094.972006668 2048214.6722579987)	19
10	Hamburg	-377.95877564049164	2641438.419469061	233.0	POINT (-377.95877564049164 2641438.419469061)	16
11	Stockholm	455186.4699972974	3303187.6641124627	309.0	POINT (455186.4699972974 3303187.6641124627)	14
12	Dresden	258618.35872350467	2373788.3162105666	168.0	POINT (258618.35872350467 2373788.3162105666)	21
13	Warschau	739269.6733879977	2553186.766727675	163.0	POINT (739269.6733879977 2553186.766727675)	22
14	Neapel	362106.87266825046	1250731.2304494216	179.0	POINT (362106.87266825046 1250731.2304494216)	20
15	Amsterdam	-342893.41536445654	2524483.4583871216	229.0	POINT (-342893.41536445654 2524483.4583871216)	17
16	Haag	-385069.93198786594	2494934.3240800397	297.0	POINT (-385069.93198786594 2494934.3240800397)	15
17	Odessa	1558401.014933319	2091449.8754357263	148.0	POINT (1558401.014933319 2091449.8754357263)	24
18	Bukarest	1267150.3251352927	1780687.841186761	80.0	POINT (1267150.3251352927 1780687.841186761)	38
19	Lissabon	-1667668.5430395887	1223727.9252045841	408.0	POINT (-1667668.5430395887 1223727.9252045841)	10
20	Hannover	-17842.7201935332	2511934.490479429	150.0	POINT (-17842.7201935332 2511934.490479429)	23
21	Stuttgart	-59714.32590160933	2118212.660680459	101.0	POINT (-59714.32590160933 2118212.660680459)	31
22	Triest	292490.06823887705	1780416.4652539159	143.0	POINT (292490.06823887705 1780416.4652539159)	25
23	Main	-26623.563417692832	2229096.3072871803	914.0	POINT (-26623.563417692832 2229096.3072871803)	4
24	Karlsruhe	-115285.84052655585	2144111.120249146	60.0	POINT (-115285.84052655585 2144111.120249146)	43
25	Kassel	-34312.254928328075	2396357.7472332465	84.0	POINT (-34312.254928328075 2396357.7472332465)	36
26	Moskau	1670670.708887797	3208138.2671111785	83.0	POINT (1670670.708887797 3208138.2671111785)	37
27	Leipzig	163074.2116163365	2401445.8217976177	125.0	POINT (163074.2116163365 2401445.8217976177)	26
28	Frankfurt am Main	-92838.08411714512	2265213.6549489642	334.0	POINT (-92838.08411714512 2265213.6549489642)	13
29	Königsberg	666278.5789508942	2817144.514393556	115.0	POINT (666278.5789508942 2817144.514393556)	29
30	Mailand	-62928.78705033491	1752622.9157786232	98.0	POINT (-62928.78705033491 1752622.9157786232)	33
31	Italien	231783.14404326846	1465342.0561836436	599.0	POINT (231783.14404326846 1465342.0561836436)	8
32	Schweiz	-149597.58764304855	1923791.80253062	100.0	POINT (-149597.58764304855 1923791.80253062)	32
33	Genua	-83704.35736275365	1635703.7278410983	56.0	POINT (-83704.35736275365 1635703.7278410983)	45
34	Bayonne	-922772.2622905673	1607851.9212355728	111.0	POINT (-922772.2622905673 1607851.9212355728)	30
35	Smyrna	1505535.8703971156	1146550.450461016	78.0	POINT (1505535.8703971156 1146550.450461016)	40
36	Augsburg	65924.9591999744	2073108.764047293	125.0	POINT (65924.9591999744 2073108.764047293)	27
37	Semlin	815745.557255586	1743015.9520996609	67.0	POINT (815745.557255586 1743015.9520996609)	41
38	Livorno	26401.311832392188	1539777.2102006963	80.0	POINT (26401.311832392188 1539777.2102006963)	39
39	Korfu	858259.6083361623	1161794.0020246205	87.0	POINT (858259.6083361623 1161794.0020246205)	35
40	Niederelbe	-37252.394100021505	2667737.108346787	120.0	POINT (-37252.394100021505 2667737.108346787)	28
41	Spanische Grenze	-826329.6137212057	1501984.3125705093	91.0	POINT (-826329.6137212057 1501984.3125705093)	34
42	Sachsen	202999.00543317906	2378667.2765730163	61.0	POINT (202999.00543317906 2378667.2765730163)	42
43	Regensburg	152006.1266932742	2145685.0542751355	52.0	POINT (152006.1266932742 2145685.0542751355)	47
44	Zante	973375.7780091594	968746.0037687591	56.0	POINT (973375.7780091594 968746.0037687591)	44
45	Oesterreich	249574.33601559125	1964214.4762401076	53.0	POINT (249574.33601559125 1964214.4762401076)	46
46	Rom	209123.62397420188	1359666.7874678357	227.0	POINT (209123.62397420188 1359666.7874678357)	18
47	Riga	843557.4062178921	3097649.308430635			6
