	placename	longitude	latitude	freq	geometry	id
0	Paris	-553957.6202765539	2155200.804664789	11753.0	POINT (-553957.6202765539 2155200.804664789)	0
1	London	-691159.2769013236	2466065.262581071	9181.0	POINT (-691159.2769013236 2466065.262581071)	1
2	Berlin	228295.87770922156	2534201.357562954	5639.0	POINT (228295.87770922156 2534201.357562954)	3
3	St. Petersburg	1114257.5172729476	3503553.8625624687	5343.0	POINT (1114257.5172729476 3503553.8625624687)	4
4	Wien	468038.4707875375	2075517.2563286922	6278.0	POINT (468038.4707875375 2075517.2563286922)	2
5	Madrid	-1165060.9238645933	1302642.4854807733	2832.0	POINT (-1165060.9238645933 1302642.4854807733)	5
6	Konstantinopel	1585071.67501981	1468200.1328088385	2250.0	POINT (1585071.67501981 1468200.1328088385)	6
7	Brüssel	-392257.3600126043	2360490.761819043	1791.0	POINT (-392257.3600126043 2360490.761819043)	10
8	Kopenhagen	159429.77212115252	2877726.8702465496	1822.0	POINT (159429.77212115252 2877726.8702465496)	9
9	München	116094.972006668	2048214.6722579987	1557.0	POINT (116094.972006668 2048214.6722579987)	12
10	Hamburg	-377.95877564049164	2641438.419469061	1101.0	POINT (-377.95877564049164 2641438.419469061)	13
11	Turin	-181124.25040150952	1711661.1636276636	1680.0	POINT (-181124.25040150952 1711661.1636276636)	11
12	Bern	-192511.13009150818	1919406.1726347865	1007.0	POINT (-192511.13009150818 1919406.1726347865)	14
13	Stockholm	455186.4699972974	3303187.6641124627	989.0	POINT (455186.4699972974 3303187.6641124627)	15
14	Dresden	258618.35872350467	2373788.3162105666	854.0	POINT (258618.35872350467 2373788.3162105666)	18
15	Warschau	739269.6733879977	2553186.766727675	586.0	POINT (739269.6733879977 2553186.766727675)	25
16	Neapel	362106.87266825046	1250731.2304494216	961.0	POINT (362106.87266825046 1250731.2304494216)	16
17	Florenz	100196.54543850334	1566647.8272346398	407.0	POINT (100196.54543850334 1566647.8272346398)	29
18	Haag	-385069.93198786594	2494934.3240800397	900.0	POINT (-385069.93198786594 2494934.3240800397)	17
19	Athen	1219257.5226106711	1034602.5454419061	694.0	POINT (1219257.5226106711 1034602.5454419061)	21
20	Odessa	1558401.014933319	2091449.8754357263	285.0	POINT (1558401.014933319 2091449.8754357263)	38
21	Bukarest	1267150.3251352927	1780687.841186761	262.0	POINT (1267150.3251352927 1780687.841186761)	42
22	Lissabon	-1667668.5430395887	1223727.9252045841	684.0	POINT (-1667668.5430395887 1223727.9252045841)	22
23	Hannover	-17842.7201935332	2511934.490479429	801.0	POINT (-17842.7201935332 2511934.490479429)	19
24	Stuttgart	-59714.32590160933	2118212.660680459	725.0	POINT (-59714.32590160933 2118212.660680459)	20
25	Triest	292490.06823887705	1780416.4652539159	655.0	POINT (292490.06823887705 1780416.4652539159)	23
26	Karlsruhe	-115285.84052655585	2144111.120249146	614.0	POINT (-115285.84052655585 2144111.120249146)	24
27	Kassel	-34312.254928328075	2396357.7472332465	484.0	POINT (-34312.254928328075 2396357.7472332465)	27
28	Leipzig	163074.2116163365	2401445.8217976177	345.0	POINT (163074.2116163365 2401445.8217976177)	35
29	Kiel	8737.8118591463	2726053.8825511574	544.0	POINT (8737.8118591463 2726053.8825511574)	26
30	Frankfurt am Main	-92838.08411714512	2265213.6549489642	349.0	POINT (-92838.08411714512 2265213.6549489642)	33
31	Köln	-211435.7745028272	2358646.741052707	397.0	POINT (-211435.7745028272 2358646.741052707)	31
32	Königsberg	666278.5789508942	2817144.514393556	345.0	POINT (666278.5789508942 2817144.514393556)	34
33	Darmstadt	-95734.54825815305	2238479.818689187	353.0	POINT (-95734.54825815305 2238479.818689187)	32
34	Mailand	-62928.78705033491	1752622.9157786232	406.0	POINT (-62928.78705033491 1752622.9157786232)	30
35	Breslau	485415.69783830433	2396218.561488284	331.0	POINT (485415.69783830433 2396218.561488284)	36
36	Alexandrien	1969511.66786011	415124.0708616759	481.0	POINT (1969511.66786011 415124.0708616759)	28
37	Weimar	92172.79745122425	2360166.054418853	316.0	POINT (92172.79745122425 2360166.054418853)	37
38	Altona	-4280.173749954889	2641360.283745173	285.0	POINT (-4280.173749954889 2641360.283745173)	39
39	Bremen	-78762.53192434402	2589963.6346223513	265.0	POINT (-78762.53192434402 2589963.6346223513)	41
40	Schweiz	-149597.58764304855	1923791.80253062	250.0	POINT (-149597.58764304855 1923791.80253062)	44
41	Genua	-83704.35736275365	1635703.7278410983	272.0	POINT (-83704.35736275365 1635703.7278410983)	40
42	Wiesbaden	-123628.02310454448	2262252.038747284	244.0	POINT (-123628.02310454448 2262252.038747284)	46
43	Stettin	298372.15737944224	2637519.7101879576	258.0	POINT (298372.15737944224 2637519.7101879576)	43
44	Rendsburg	-21554.95218188915	2724482.1580729033	246.0	POINT (-21554.95218188915 2724482.1580729033)	45
45	Basel	-180751.817336425	1986264.7224329184	226.0	POINT (-180751.817336425 1986264.7224329184)	47
46	Bolderaa	838769.6376148027	3106278.23016156	224.0	POINT (838769.6376148027 3106278.23016156)	48
47	Rom	209123.62397420188	1359666.7874678357	1938.0	POINT (209123.62397420188 1359666.7874678357)	8
48	Riga	843557.4062178921	3097649.308430635			7
