	placename	longitude	latitude	freq	geometry	id
0	Paris	19742.95103149081	2542089.8432715065	11681.0	POINT (19742.95103149081 2542089.8432715065)	3
1	London	-59802.52641020436	2725888.365591309	10334.0	POINT (-59802.52641020436 2725888.365591309)	4
2	Berlin	319051.46188534866	2617314.0593400123	14629.0	POINT (319051.46188534866 2617314.0593400123)	0
3	St. Petersburg	1232094.9231690026	3680246.5854205037	13160.0	POINT (1232094.9231690026 3680246.5854205037)	2
4	Wien	503114.0335077488	2170990.090104046	7492.0	POINT (503114.0335077488 2170990.090104046)	5
5	Madrid	7330.74138557585	2350353.246044819	2157.0	POINT (7330.74138557585 2350353.246044819)	7
6	Konstantinopel	1381203.1485070076	1916193.4033877698	1652.0	POINT (1381203.1485070076 1916193.4033877698)	8
7	Brüssel	-49275.79217761033	2565077.8900591442	1358.0	POINT (-49275.79217761033 2565077.8900591442)	14
8	Kopenhagen	-152388.8754325027	2777488.3857540977	1202.0	POINT (-152388.8754325027 2777488.3857540977)	15
9	München	173840.47322710475	2131518.1202629576	1360.0	POINT (173840.47322710475 2131518.1202629576)	13
10	Hamburg	7910.735697044409	2645919.085679492	1379.0	POINT (7910.735697044409 2645919.085679492)	12
11	Turin	165507.56707081455	2180516.6237840997	902.0	POINT (165507.56707081455 2180516.6237840997)	20
12	Dorpat	1539513.7386781303	4207557.939182164	1526.0	POINT (1539513.7386781303 4207557.939182164)	10
13	Bern	24667.987800435163	2166387.714807556	815.0	POINT (24667.987800435163 2166387.714807556)	25
14	Stockholm	-546387.3210876073	3833252.637863939	396.0	POINT (-546387.3210876073 3833252.637863939)	33
15	Dresden	209754.38108168694	2313319.2340196315	595.0	POINT (209754.38108168694 2313319.2340196315)	28
16	Reval	755181.0246682643	4469508.801074356	1439.0	POINT (755181.0246682643 4469508.801074356)	11
17	Warschau	77571.14852373139	-901390.7843668573	866.0	POINT (77571.14852373139 -901390.7843668573)	23
18	Neapel	428315.86147653323	1504719.0647826965	260.0	POINT (428315.86147653323 1504719.0647826965)	45
19	Domesnees	516788.2223179239	3321479.605765726	1580.0	POINT (516788.2223179239 3321479.605765726)	9
20	Florenz	240707.45596263022	1856039.4585226895	1022.0	POINT (240707.45596263022 1856039.4585226895)	17
21	Amsterdam	-75335.17056331446	2653738.920162663	901.0	POINT (-75335.17056331446 2653738.920162663)	21
22	Haag	-109691.97801597056	2630023.633960652	305.0	POINT (-109691.97801597056 2630023.633960652)	40
23	Athen	1140766.6045034514	1465612.3520926489	681.0	POINT (1140766.6045034514 1465612.3520926489)	26
24	Odessa	1847693.928054945	1684247.0109161604	956.0	POINT (1847693.928054945 1684247.0109161604)	18
25	Bukarest	1220082.5533943144	1927022.7749489225	945.0	POINT (1220082.5533943144 1927022.7749489225)	19
26	Lissabon	-469886.24130136624	2117534.34208262	235.0	POINT (-469886.24130136624 2117534.34208262)	48
27	Budapest	704335.0783994002	2217526.5472909184	878.0	POINT (704335.0783994002 2217526.5472909184)	22
28	Hannover	-134007.8166072279	2432947.2507379125	329.0	POINT (-134007.8166072279 2432947.2507379125)	38
29	Stuttgart	7506.306574796443	2191101.414519627	444.0	POINT (7506.306574796443 2191101.414519627)	31
30	Triest	422295.6710868962	2090694.7044375916	320.0	POINT (422295.6710868962 2090694.7044375916)	39
31	Versailles	155540.40164075058	2637110.2775224615	1104.0	POINT (155540.40164075058 2637110.2775224615)	16
32	Karlsruhe	24527.966149131535	2283151.369375314	340.0	POINT (24527.966149131535 2283151.369375314)	36
33	Kassel	-40375.17203479016	2391514.3487298177	374.0	POINT (-40375.17203479016 2391514.3487298177)	34
34	Moskau	2316492.4142750246	3294409.6007860103	836.0	POINT (2316492.4142750246 3294409.6007860103)	24
35	Mitau	289498.5901294943	1909146.6115251305	331.0	POINT (289498.5901294943 1909146.6115251305)	37
36	Belgrad	830594.9590249077	2303008.886667567	623.0	POINT (830594.9590249077 2303008.886667567)	27
37	Leipzig	-188505.4856708399	2041744.049553214	278.0	POINT (-188505.4856708399 2041744.049553214)	43
38	Kiel	-220284.86241511197	2624111.16491721	232.0	POINT (-220284.86241511197 2624111.16491721)	49
39	Köln	-153598.52730306273	2399160.627731575	271.0	POINT (-153598.52730306273 2399160.627731575)	44
40	Libau	-267419.716976853	2590259.5886900406	478.0	POINT (-267419.716976853 2590259.5886900406)	30
41	Königsberg	154970.4326007032	2008111.7128315798	177.0	POINT (154970.4326007032 2008111.7128315798)	55
42	Darmstadt	99624.09626579657	2417174.191756452	243.0	POINT (99624.09626579657 2417174.191756452)	47
43	Mailand	87762.17429018172	1976215.2017309866	137.0	POINT (87762.17429018172 1976215.2017309866)	64
44	Breslau	417025.18593172776	2262273.7940177605	209.0	POINT (417025.18593172776 2262273.7940177605)	51
45	Antwerpen	-430409.1772216888	2375257.8986586826	259.0	POINT (-430409.1772216888 2375257.8986586826)	46
