	placename	longitude	latitude	freq	geometry	id
0	Paris	-40286.55866896908	2501607.472401471	11753.0	POINT (-40286.55866896908 2501607.472401471)	0
1	London	-168698.658861625	2681074.191960738	9181.0	POINT (-168698.658861625 2681074.191960738)	1
2	Berlin	213698.34928933915	2520833.1440556804	5639.0	POINT (213698.34928933915 2520833.1440556804)	3
3	St. Petersburg	1168521.7000102298	3584920.947390983	5343.0	POINT (1168521.7000102298 3584920.947390983)	4
4	Wien	456737.3454165657	2044756.5106601554	6278.0	POINT (456737.3454165657 2044756.5106601554)	2
5	Madrid	-449703.1489252291	1941923.7603925972	2832.0	POINT (-449703.1489252291 1941923.7603925972)	5
6	Konstantinopel	1934899.5555144371	699466.7780178427	2250.0	POINT (1934899.5555144371 699466.7780178427)	6
7	Brüssel	-47362.68556329748	2566219.050474003	1791.0	POINT (-47362.68556329748 2566219.050474003)	10
8	Kopenhagen	-250540.56920259015	2745936.145017155	1822.0	POINT (-250540.56920259015 2745936.145017155)	9
9	München	189099.27560830372	2153530.4125440107	1557.0	POINT (189099.27560830372 2153530.4125440107)	12
10	Hamburg	59760.31025035225	2673947.7019461244	1101.0	POINT (59760.31025035225 2673947.7019461244)	13
11	Turin	-134484.17949271633	1774746.6935917935	1680.0	POINT (-134484.17949271633 1774746.6935917935)	11
12	Bern	-35735.11883470917	2097695.7863496975	1007.0	POINT (-35735.11883470917 2097695.7863496975)	14
13	Stockholm	-448992.59982421866	3781708.2276272355	989.0	POINT (-448992.59982421866 3781708.2276272355)	15
14	Dresden	243739.6497270218	2355375.9412746103	854.0	POINT (243739.6497270218 2355375.9412746103)	18
15	Warschau	542290.058546406	1524800.9839505465	586.0	POINT (542290.058546406 1524800.9839505465)	25
16	Neapel	303641.7586979248	1026450.0875313552	961.0	POINT (303641.7586979248 1026450.0875313552)	16
17	Florenz	104651.31587131787	1575822.725310221	407.0	POINT (104651.31587131787 1575822.725310221)	29
18	Haag	-92956.29122455756	2638233.4864431093	900.0	POINT (-92956.29122455756 2638233.4864431093)	17
19	Athen	1283212.954795389	683410.0874489299	694.0	POINT (1283212.954795389 683410.0874489299)	21
20	Odessa	2134409.2890774687	1280672.2566979406	285.0	POINT (2134409.2890774687 1280672.2566979406)	38
21	Bukarest	1622996.118029019	674353.9611974591	262.0	POINT (1622996.118029019 674353.9611974591)	42
22	Lissabon	-832322.9837176419	1847077.6108269277	684.0	POINT (-832322.9837176419 1847077.6108269277)	22
23	Hannover	90066.10557298083	2585307.823383927	801.0	POINT (90066.10557298083 2585307.823383927)	19
24	Stuttgart	26399.23060096416	2211587.411718907	725.0	POINT (26399.23060096416 2211587.411718907)	20
25	Triest	269735.611540296	1726025.8025774884	655.0	POINT (269735.611540296 1726025.8025774884)	23
26	Karlsruhe	7298.642953022616	2266017.3720511515	614.0	POINT (7298.642953022616 2266017.3720511515)	24
27	Kassel	55543.17676230974	2468139.309760553	484.0	POINT (55543.17676230974 2468139.309760553)	27
28	Leipzig	64322.63543714245	2300412.920189053	345.0	POINT (64322.63543714245 2300412.920189053)	35
29	Kiel	-69133.37850319874	2691391.809042132	544.0	POINT (-69133.37850319874 2691391.809042132)	26
30	Frankfurt am Main	101400.81043576205	2437887.8965355554	349.0	POINT (101400.81043576205 2437887.8965355554)	33
31	Köln	101161.89533965348	2577615.436577484	397.0	POINT (101161.89533965348 2577615.436577484)	31
32	Königsberg	298772.49299009517	2235646.87849963	345.0	POINT (298772.49299009517 2235646.87849963)	34
33	Darmstadt	69454.33823333052	2389577.941739772	353.0	POINT (69454.33823333052 2389577.941739772)	32
34	Mailand	20661.733434940805	1876652.8867402948	406.0	POINT (20661.733434940805 1876652.8867402948)	30
35	Breslau	427512.00209712656	2282812.522470317	331.0	POINT (427512.00209712656 2282812.522470317)	36
36	Alexandrien	2166286.389640609	-53681.07982172491	481.0	POINT (2166286.389640609 -53681.07982172491)	28
37	Weimar	163382.51449082838	2430058.3216105187	316.0	POINT (163382.51449082838 2430058.3216105187)	37
38	Altona	109038.94482858817	2702346.3397022355	285.0	POINT (109038.94482858817 2702346.3397022355)	39
39	Bremen	-99125.82119011192	2578754.7798591466	265.0	POINT (-99125.82119011192 2578754.7798591466)	41
40	Schweiz	-35616.24570358603	2058511.815615434	250.0	POINT (-35616.24570358603 2058511.815615434)	44
41	Genua	-83955.32762214122	1635308.0414492057	272.0	POINT (-83955.32762214122 1635308.0414492057)	40
42	Wiesbaden	118500.23897846928	2471388.0357597983	244.0	POINT (118500.23897846928 2471388.0357597983)	46
43	Stettin	216057.26006707922	2568046.9562746393	258.0	POINT (216057.26006707922 2568046.9562746393)	43
44	Rendsburg	13690.018722948851	2739685.1143470774	246.0	POINT (13690.018722948851 2739685.1143470774)	45
45	Basel	10863.751731834374	2194169.3131586425	226.0	POINT (10863.751731834374 2194169.3131586425)	47
46	Bolderaa	771098.2620264709	3228241.309788872	224.0	POINT (771098.2620264709 3228241.309788872)	48
47	Rom	196296.41039602098	1324527.6230420487	1938.0	POINT (196296.41039602098 1324527.6230420487)	8
48	Riga	843557.4062178921	3097649.308430635		POINT (843557.4062178921 3097649.308430635)	7
