	placename	latitude	longitude	calendar	total_freq	german_presence	russian_empire	sovereign_capital
90	Italienische Grenze	46.5369	12.139	g	145	0	0	0
82	Windau	57.39485	21.56121	j	145	1	1	0
115	Palermo	38.13205	13.33561	g	142	0	0	0
124	Aachen	50.77664	6.08342	g	141	1	0	0
106	Hongkong	22.27832	114.17469	g	141	0	0	0
118	Memel	55.7068	21.13912	g	141	1	0	0
112	Calcutta	22.56263	88.36304	g	134	0	0	0
123	Düsseldorf	51.22172	6.77616	g	133	1	0	0
121	Bonn	50.73438	7.09549	g	133	1	0	0
119	Verona	45.4299	10.98444	g	131	0	0	0
127	Bologna	44.49381	11.33875	g	129	0	0	0
128	Luxemburg	49.75	6.16667	g	129	0	0	0
114	Barcelona	41.38879	2.15899	g	128	0	0	0
117	Toulon	43.12442	5.92836	g	125	0	0	0
132	Itzehoe	53.92099	9.51529	g	118	1	0	0
130	Algier	36.73225	3.08746	g	113	0	0	0
153	Lüttich	50.63373	5.56749	g	110	1	0	0
133	Philadelphia	39.95238	-75.16362	g	108	0	0	0
139	Eisenach	50.9807	10.31522	g	106	1	0	0
138	Koburg	50.25937	10.96384	g	104	1	0	0
146	Narwa	59.37722	28.19028	j	104	1	1	0
134	Ankona	43.5942	13.50337	g	104	1	0	0
151	Spanische Grenze	42.68052	-0.10713	g	102	0	0	0
141	Helsingör	56.03606	12.6136	g	102	0	0	0
131	Dünaburg	55.88333	26.53333	j	102	1	1	0
111	Gent	51.05	3.71667	g	100	0	0	0
154	Hanau	50.13423	8.91418	g	99			
150	Erfurt	50.9787	11.03283	g	98			
155	Helsingfors	60.16952	24.93545	g	97			
302	Kreutzburg	56.51068	25.86117	g	93			
143	Serbische Grenze	44.66436	20.92763	j	89			
157	Fulda	50.55162	9.67518	g	88			
156	Baden-Baden	48.7606	8.23975	g	88			
110	Bremerhaven	53.53615	8.59298	g	87			
145	Malta	35.91667	14.43333	g	87			
152	Lyon	45.74846	4.84671	g	87			
161	Münster	51.96236	7.62571	g	84			
158	Salzburg	47.79941	13.04399	g	84			
164	Sachsen	51.118812	12.937999	g	81			
173	Würzburg	49.79391	9.95121	g	80			
137	Fellin	58.36389	25.59	j	77			
167	Innsbruck	47.26266	11.39454	g	77			
160	Rhein	50.075467	7.773223	g	76			
180	Archangelsk	64.5401	40.5433	j	75			
136	Donau	44.217771	22.672659	g	74			
168	Modena	44.64783	10.92539	g	74			
166	Jassy	47.16667	27.6	g	74			
175	Zara	39.89778	37.75833	g	73			
159	Pera	41.03694	28.9775	j	72			
170	Thüringen	47.2	9.76667	g	72			
184	Luzern	47.05048	8.30635	g	72			
176	Halle	50.73385	4.23454	g	72			
188	Taschkent	41.26465	69.21627	j	71			
178	Elberfeld	51.25083	7.14816	g	70			
162	Nizza	43.70313	7.26608	g	70			
172	Stralsund	54.30911	13.0818	g	70			
186	Beirut	33.89332	35.50157	j	69			
171	Gothenburg	57.70716	11.96679	g	69			
181	Preßburg	48.14816	17.10674	g	68			
142	Perpignan	42.69764	2.89541	g	67			
225	Oesterreich	47.33333	13.33333	g	67			
182	Tours	47.39484	0.70398	g	67			
189	Parma	44.79935	10.32618	g	65			
192	Regensburg	49.01513	12.10161	g	65			
191	Tilsit	55.08392	21.87851	g	63			
183	Rostock	54.0887	12.14049	g	62			
212	Kasan	55.78874	49.12214	j	59			
179	Holstein	54.2	9.75	g	59			
195	Göttingen	51.53443	9.93228	g	59			
140	Wenden	50.96667	7.86667	j	58			
220	Zante	37.78022	20.89555	j	58			
135	Dundee	56.46913	-2.97489	g	56			
301	Ulm	48.39841	9.99155	g	56			
125	Hull	53.7446	-0.33525	g	55			
209	Cadix	36.52672	-6.2891	g	55			
147	Dünkirchen	51.0344	2.37681	g	55			
199	Tunis	36.81897	10.16579	g	54			
217	Orenburg	51.7727	55.0988	j	54			
200	Gibraltar	36.14474	-5.35257	g	53			
208	Dessau	51.83864	12.24555	g	53			
163	Varna	43.21667	27.91667	j	53			
190	Metz	49.11911	6.17269	g	53			
211	Rastatt	48.85851	8.20965	g	52			
197	Altenburg	50.98763	12.43684	g	52			
238	Twer	56.85836	35.90057	j	52			
218	Trier	49.75565	6.63935	g	51			
219	Jena	50.92878	11.5899	g	50			
203	Teplitz	50.6404	13.82451	g	50			
213	Meiningen	50.56787	10.41521	g	50			
226	Gravenhaag	52.07667	4.29861	g	49			
202	Brünn	49.19522	16.60796	g	49			
196	Mexiko	19.42847	-99.12766	g	49			
194	Arensburg	53.67515	10.22593	j	48			
222	Orel	52.96508	36.07849	j	48			
215	Ostende	51.21551	2.927	g	46			
210	Swinemünde	53.91053	14.24712	g	46			
339	Macao	22.20056	113.54611	g	45			
216	Shanghai	31.22222	121.45806	g	45			
227	Teheran	35.69439	51.42151	j	44			
221	Nauplia	37.56863	22.80691	j	44			
237	Helgoland	54.18143	7.8863	g	44			
247	Ssaratow	51.54056	46.00861	j	44			
235	Brandenburgischen	52.45905	13.01582	g	43			
229	Malchin	53.7399	12.76539	g	43			
148	Wolmar	57.54108	25.42751	j	41			
144	Hartlepool	54.68554	-1.21028	g	40			
230	Kissingen	50.20228	10.07784	g	39			
201	Cettinje	42.39063	18.91417	j	39			
263	Astrachan	46.34968	48.04076	j	39			
242	Konstanz	47.66033	9.17582	g	39			
236	Bayreuth	49.94782	11.57893	g	39			
233	Saragossa	41.65606	-0.87734	g	39			
250	Rotterdam	51.9225	4.47917	g	39			
224	Ofen	47.5	19.03333	g	39			
251	Hermannstadt	45.8	24.15	g	39			
165	Nowgorod	58.52131	31.27104	j	38			
248	Graz	47.06667	15.45	g	38			
240	Baltischport	59.35667	24.05306	j	38			
239	Olmütz	49.59552	17.25175	g	38			
149	Gravesend	40.5976	-73.96514	g	37			
228	Livadia	45.20546	24.24192	g	37			
241	Boston	42.35843	-71.05977	g	37			
315	Ems	50.33544	7.71369	g	37			
276	Möttau	50.45357	8.40042	g	37			
206	Havre	49.4938	0.10767	g	37			
254	Glasgow	55.86515	-4.25763	g	36			
268	Galacz	45.43687	28.05028	g	36			
253	Saarbrücken	49.23262	7.00982	g	36			
326	Nishni-Nowgorod	56.32867	44.00205	j	36			
174	Grimsby	53.56539	-0.07553	g	35			
234	Philippopel	42.15	24.75	j	34			
261	Linz	48.30639	14.28611	g	34			
259	Trapezunt	41.005	39.72694	j	33			
193	Peterhof	59.88333	29.9	j	33			
264	Dirschau	54.09242	18.77787	g	33			
232	Zarskoje-Sselo	59.71417	30.39642	j	33			
274	Goldingen	47.26477	8.96167	g	33			
277	Lausanne	46.516	6.63282	g	33			
285	Kaluga	54.5293	36.27542	j	33			
185	Sanssouci	52.39886	13.06566	g	33			
257	Hapsal	58.94306	23.54139	j	33			
262	Speyer	49.32083	8.43111	g	32			
260	Newport	51.58774	-2.99835	g	32			
256	Plymouth	50.37153	-4.14305	g	32			
245	Tirnowo	43.08124	25.62904	j	32			
324	Montevideo	-34.90328	-56.18816	g	31			
278	Lille	50.63297	3.05858	g	31			
169	Kurland	56.816781	22.768799	j	31			
281	Detmold	51.93855	8.87318	g	30			
266	Elbing	54.1522	19.40884	g	30			
290	Taganrog	47.23627	38.9053	j	30			
306	Witebsk	55.1904	30.2049	g	30			
280	Coblenz	50.35357	7.57883	g	30			
214	Oporto	41.14961	-8.61099	g	30			
265	Chur	46.84986	9.53287	g	30			
267	Cattaro	42.42067	18.76825	j	29			
269	Marienburg	54.03591	19.0266	g	29			
283	Niederrhein	51.490733	6.692922	g	29			
282	Gumbinnen	54.59222	22.19972	g	29			
317	St. Gallen	47.42391	9.37477	g	29			
337	Damaskus	33.5102	36.29128	j	29			
252	Gastein	47.11547	13.13467	g	29			
279	Kahira	30.06263	31.24967	g	28			
284	San Francisco	37.77493	-122.41942	g	28			
323	Buenos Aires	-34.61315	-58.37723	g	28			
187	Tuckum	56.96764	23.15554	j	28			
207	Belfast	54.59682	-5.92541	g	28			
331	Woronesh	51.67204	39.1843	j	28			
273	Cuxhaven	53.86828	8.69902	g	28			
272	Manchester	53.48095	-2.23743	g	28			
330	Bromberg	53.1235	18.00762	g	28			
270	Simla	31.10442	77.16662	g	28			
335	Kostroma	57.76647	40.92686	j	27			
289	Oger	56.8162	24.61401	j	27			
246	Porto	41.14961	-8.61099	g	27			
320	Gera	50.88029	12.08187	g	27			
286	Ischl	47.71109	13.61893	g	27			
204	Walk	57.77781	26.0473	j	27			
231	Rustschuk	43.84872	25.9534	g	27			
348	Poltawa	49.58925	34.55367	j	27			
271	Havanna	23.13302	-82.38304	g	27			
332	Marburg	50.80904	8.77069	g	27			
307	Erlangen	49.59099	11.00783	g	26			
255	Messina	38.19394	15.55256	g	26			
334	Tambow	52.73169	41.44326	j	26			
293	Karlsbad	48.90617	8.50412	g	26			
292	Paderborn	51.71905	8.75439	g	26			
338	Minden	52.28953	8.91455	g	26			
205	Leith	55.9713	-3.1723	g	26			
275	Frankreich	46.0	2.0	g	26			
244	Texel	53.08333	4.83333	g	26			
249	Polnische Grenze	52.87908	18.79505	g	26			
305	Malaga	36.72016	-4.42034	g	26			
350	Thorn	53.01375	18.59814	g	25			
296	Gießen	50.58727	8.67554	g	25			
287	Veracruz	19.18095	-96.1429	g	25			
126	Rio de Janeiro	-22.90642	-43.18223	g	25			
346	Newcastle	54.97328	-1.61396	g	24			
333	Sellin	54.37846	13.69394	g	24			
291	Melbourne	-37.814	144.96332	g	24			
316	Wladimir	56.13655	40.39658	j	24			
258	Arbroath	56.56317	-2.58736	g	24			
313	Chicago	41.85003	-87.65005	g	24			
312	Mecklenburg	53.8427	11.4633	g	24			
310	Sigmaringen	48.08829	9.23033	g	24			
347	Nyborg	55.31274	10.78964	g	24			
314	Abo	60.45148	22.26869	g	23			
349	Lüneburg	53.2509	10.41409	g	23			
308	Wesel	51.6669	6.62037	g	23			
336	Portsmouth	50.79899	-1.09125	g	23			
299	Syra	37.44466	24.9429	j	23			
321	Tula	54.19609	37.61822	j	23			
300	Hadersleben	55.24943	9.48771	g	23			
318	Pillau	54.65455	19.90929	g	23			
223	Grangemouth	56.01141	-3.72183	g	22			
340	Schaffhausen	47.69732	8.63493	g	22			
294	Smolensk	54.7818	32.0401	j	22			
345	Wittenberg	44.8272	-89.16956	g	22			
342	San Sebastian	43.31283	-1.97499	g	22			
304	Lodz	51.77058	19.47395	g	22			
327	Polangen	55.9175	21.06861	j	22			
177	Sewastopol	44.60795	33.52134	j	22			
325	Werro	57.83389	27.01944	j	22			
297	Tschernigow	51.50551	31.28487	j	21			
288	Southampton	50.90395	-1.40428	g	21			
298	Jerusalem	31.76904	35.21633	j	21			
322	Lindau	47.54612	9.68431	g	21			
344	Ludwigsburg	48.89731	9.19161	g	21			
198	Helvoet	51.83333	4.13333	g	21			
303	Galatz	45.43687	28.05028	g	20			
309	Homburg	47.63469	9.00756	g	20			
243	Worms	49.63278	8.35916	j	20			
311	Coburg	50.25937	10.96384	g	20			
319	Brest	48.39029	-4.48628	g	20			
343	Santander	43.46472	-3.80444	g	20			
328	Osnabrück	52.27264	8.0498	g	20			
341	Pskow	57.8136	28.3496	j	20			
329	Pensa	53.20066	45.00464	j	20			
