	placename	longitude	latitude	freq	geometry	id
0	Paris	-553957.6202765539	2155200.804664789	14859.0	POINT (-553957.6202765539 2155200.804664789)	0
1	London	-691159.2769013236	2466065.262581071	12612.0	POINT (-691159.2769013236 2466065.262581071)	1
2	Berlin	228295.87770922156	2534201.357562954	6494.0	POINT (228295.87770922156 2534201.357562954)	4
3	St. Petersburg	1114257.5172729476	3503553.8625624687	7717.0	POINT (1114257.5172729476 3503553.8625624687)	3
4	Wien	468038.4707875375	2075517.2563286922	7748.0	POINT (468038.4707875375 2075517.2563286922)	2
5	Madrid	-1165061.253135451	1302642.4776827507	4302.0	POINT (-1165061.253135451 1302642.4776827507)	5
6	Rom	209123.62397420188	1359666.7874678357	2358.0	POINT (209123.62397420188 1359666.7874678357)	8
7	Konstantinopel	1585071.67501981	1468200.1328088385	3414.0	POINT (1585071.67501981 1468200.1328088385)	6
8	Brüssel	-392257.3600126043	2360490.761819043	2224.0	POINT (-392257.3600126043 2360490.761819043)	10
9	Kopenhagen	159429.77212115252	2877726.8702465496	2231.0	POINT (159429.77212115252 2877726.8702465496)	9
10	München	116094.972006668	2048214.6722579987	1828.0	POINT (116094.972006668 2048214.6722579987)	11
11	Hamburg	-377.95877564049164	2641438.419469061	1392.0	POINT (-377.95877564049164 2641438.419469061)	13
12	Turin	-181124.25040150952	1711661.1636276636	1822.0	POINT (-181124.25040150952 1711661.1636276636)	12
13	Bern	-192511.13009150818	1919406.1726347865	1104.0	POINT (-192511.13009150818 1919406.1726347865)	19
14	Dorpat	961092.3621795105	3285093.629219618	271.0	POINT (961092.3621795105 3285093.629219618)	55
15	Stockholm	455186.4699972974	3303187.6641124627	1351.0	POINT (455186.4699972974 3303187.6641124627)	14
16	Warschau	739269.6733879977	2553186.766727675	835.0	POINT (739269.6733879977 2553186.766727675)	24
17	Dresden	258618.35872350467	2373788.3162105666	1087.0	POINT (258618.35872350467 2373788.3162105666)	20
18	Reval	825719.2437487979	3374549.675762441	243.0	POINT (825719.2437487979 3374549.675762441)	61
19	Haag	-385069.93198786594	2494934.3240800397	1255.0	POINT (-385069.93198786594 2494934.3240800397)	17
20	Florenz	100196.54543850334	1566647.8272346398	501.0	POINT (100196.54543850334 1566647.8272346398)	34
21	Neapel	362106.87266825046	1250731.2304494216	1345.0	POINT (362106.87266825046 1250731.2304494216)	15
22	Odessa	1558401.014933319	2091449.8754357263	479.0	POINT (1558401.014933319 2091449.8754357263)	36
23	Athen	1219257.5226106711	1034602.5454419061	828.0	POINT (1219257.5226106711 1034602.5454419061)	25
24	Amsterdam	-342893.41536445654	2524483.4583871216	471.0	POINT (-342893.41536445654 2524483.4583871216)	38
25	Lissabon	-1667673.5396804698	1223720.7227287486	1290.0	POINT (-1667673.5396804698 1223720.7227287486)	16
26	Hannover	-17842.7201935332	2511934.490479429	993.0	POINT (-17842.7201935332 2511934.490479429)	21
27	Stuttgart	-59714.32590160933	2118212.660680459	840.0	POINT (-59714.32590160933 2118212.660680459)	23
28	Bukarest	1267150.3251352927	1780687.841186761	453.0	POINT (1267150.3251352927 1780687.841186761)	39
29	Triest	292490.06823887705	1780416.4652539159	927.0	POINT (292490.06823887705 1780416.4652539159)	22
30	Moskau	1670670.708887797	3208138.2671111785	325.0	POINT (1670670.708887797 3208138.2671111785)	48
31	Karlsruhe	-115285.84052655585	2144111.120249146	703.0	POINT (-115285.84052655585 2144111.120249146)	27
32	Main	-26623.563417692832	2229096.3072871803	1211.0	POINT (-26623.563417692832 2229096.3072871803)	18
33	Kassel	-34312.254928328075	2396357.7472332465	593.0	POINT (-34312.254928328075 2396357.7472332465)	30
34	Kiel	8737.8118591463	2726053.8825511574	582.0	POINT (8737.8118591463 2726053.8825511574)	31
35	Belgrad	821397.4266426413	1739170.0603555702	182.0	POINT (821397.4266426413 1739170.0603555702)	77
36	Leipzig	163074.2116163365	2401445.8217976177	538.0	POINT (163074.2116163365 2401445.8217976177)	33
37	Frankfurt am Main	-92838.08411714512	2265213.6549489642	752.0	POINT (-92838.08411714512 2265213.6549489642)	26
38	Köln	-211435.7745028272	2358646.741052707	425.0	POINT (-211435.7745028272 2358646.741052707)	40
