	placename	longitude	latitude	freq	geometry	id
39	Mailand	-62928.78705033491	1752622.9157786232	566.0	POINT (-62928.78705033491 1752622.9157786232)	32
40	Italien	231783.14404326846	1465342.0561836436	651.0	POINT (231783.14404326846 1465342.0561836436)	29
41	Königsberg	666278.5789508942	2817144.514393556	478.0	POINT (666278.5789508942 2817144.514393556)	37
42	Darmstadt	-95734.54825815305	2238479.818689187	374.0	POINT (-95734.54825815305 2238479.818689187)	44
43	Alexandrien	1969511.66786011	415124.0708616759	683.0	POINT (1969511.66786011 415124.0708616759)	28
44	Breslau	485415.69783830433	2396218.561488284	398.0	POINT (485415.69783830433 2396218.561488284)	41
45	Libau	667554.7026691283	3017267.849116337	131.0	POINT (667554.7026691283 3017267.849116337)	95
46	Mitau	826520.2891521091	3061103.2613464436	350.0	POINT (826520.2891521091 3061103.2613464436)	46
47	Posen	464494.946174164	2538300.818985174	215.0	POINT (464494.946174164 2538300.818985174)	64
48	Weimar	92172.79745122425	2360166.054418853	359.0	POINT (92172.79745122425 2360166.054418853)	45
49	Altona	-4280.173749954889	2641360.283745173	320.0	POINT (-4280.173749954889 2641360.283745173)	49
50	Prag	312258.47007362754	2270948.1123159747	269.0	POINT (312258.47007362754 2270948.1123159747)	57
51	Bremen	-78762.53192434402	2589963.6346223513	303.0	POINT (-78762.53192434402 2589963.6346223513)	50
52	Antwerpen	-385529.44361403	2400706.5520633063	149.0	POINT (-385529.44361403 2400706.5520633063)	86
53	Genua	-83704.35736275365	1635703.7278410983	387.0	POINT (-83704.35736275365 1635703.7278410983)	43
54	Schweiz	-149597.58764304855	1923791.80253062	392.0	POINT (-149597.58764304855 1923791.80253062)	42
55	Wiesbaden	-123628.02310454448	2262252.038747284	257.0	POINT (-123628.02310454448 2262252.038747284)	59
56	Marseille	-374176.82682645554	1524298.9485482213	496.0	POINT (-374176.82682645554 1524298.9485482213)	35
57	Stettin	298372.15737944224	2637519.7101879576	276.0	POINT (298372.15737944224 2637519.7101879576)	54
58	Straßburg	-164381.35532634173	2098634.173955371	205.0	POINT (-164381.35532634173 2098634.173955371)	68
59	Venedig	181493.37389398922	1752213.5182079163	289.0	POINT (181493.37389398922 1752213.5182079163)	51
60	Gotha	48754.62341628902	2356031.738703368	198.0	POINT (48754.62341628902 2356031.738703368)	70
61	Zürich	-108408.12021783002	1963194.2309453618	251.0	POINT (-108408.12021783002 1963194.2309453618)	60
62	Basel	-180751.817336425	1986264.7224329184	269.0	POINT (-180751.817336425 1986264.7224329184)	56
63	Flensburg	-35500.58302244556	2777036.8783341246	183.0	POINT (-35500.58302244556 2777036.8783341246)	75
64	Rendsburg	-21554.95218188915	2724482.1580729033	286.0	POINT (-21554.95218188915 2724482.1580729033)	52
65	Mainz	-121782.77669729784	2251398.0752840154	225.0	POINT (-121782.77669729784 2251398.0752840154)	63
66	Lübeck	44674.17577585807	2676584.190687036	215.0	POINT (44674.17577585807 2676584.190687036)	65
67	Smyrna	1505535.8703971156	1146550.450461016	285.0	POINT (1505535.8703971156 1146550.450461016)	53
68	Danzig	553575.308946342	2762784.450195368	225.0	POINT (553575.308946342 2762784.450195368)	62
69	Schleswig	-28123.53785052207	2748123.8419185844	214.0	POINT (-28123.53785052207 2748123.8419185844)	67
70	Augsburg	65924.9591999744	2073108.764047293	195.0	POINT (65924.9591999744 2073108.764047293)	73
71	Braunschweig	35545.536822677095	2500553.7001472404	157.0	POINT (35545.536822677095 2500553.7001472404)	82
72	Christiania	41578.1050063612	3342403.766468558	145.0	POINT (41578.1050063612 3342403.766468558)	88
73	Bayonne	-922771.9093456346	1607851.7235295014	329.0	POINT (-922771.9093456346 1607851.7235295014)	47
74	Koblenz	-169989.08241433924	2293369.566433177	177.0	POINT (-169989.08241433924 2293369.566433177)	78
75	Schwerin	92285.82295337331	2650977.629141712	133.0	POINT (92285.82295337331 2650977.629141712)	94
76	Oldenburg	-117739.32654512982	2597946.5671894182	160.0	POINT (-117739.32654512982 2597946.5671894182)	81
77	Potsdam	205820.8043043753	2519399.6605525683	143.0	POINT (205820.8043043753 2519399.6605525683)	90
78	Livorno	26401.311832392188	1539777.2102006963	200.0	POINT (26401.311832392188 1539777.2102006963)	69
79	Korfu	858259.6083361623	1161794.0020246205	214.0	POINT (858259.6083361623 1161794.0020246205)	66
80	Mannheim	-109643.20069384974	2196721.8231131914	150.0	POINT (-109643.20069384974 2196721.8231131914)	85
81	Niederelbe	-37252.394100021505	2667737.108346787	175.0	POINT (-37252.394100021505 2667737.108346787)	79
82	Magdeburg	110112.64494406478	2486502.437582729	139.0	POINT (110112.64494406478 2486502.437582729)	92
83	Baden	459758.9690233652	2052361.098568428	131.0	POINT (459758.9690233652 2052361.098568428)	96
84	Freiburg	-158533.24940438516	2033739.873717888	151.0	POINT (-158533.24940438516 2033739.873717888)	84
85	Palermo	297245.0288595148	941455.7856650678	154.0	POINT (297245.0288595148 941455.7856650678)	83
86	Hongkong	8208471.20757572	6338325.704679408	195.0	POINT (8208471.20757572 6338325.704679408)	74
87	Memel	688815.5882944921	2931748.166921973	140.0	POINT (688815.5882944921 2931748.166921973)	91
88	Calcutta	7301545.803733902	3533789.308562491	165.0	POINT (7301545.803733902 3533789.308562491)	80
89	Verona	76662.64102835307	1748995.0631944404	145.0	POINT (76662.64102835307 1748995.0631944404)	89
90	Bologna	106151.314623923	1645933.5137261886	148.0	POINT (106151.314623923 1645933.5137261886)	87
91	Barcelona	-657545.4341447685	1335816.6038079315	138.0	POINT (-657545.4341447685 1335816.6038079315)	93
92	Toulon	-330966.74011431966	1502492.0476044344	196.0	POINT (-330966.74011431966 1502492.0476044344)	71
93	Algier	-630212.9214467686	806525.5735814804	258.0	POINT (-630212.9214467686 806525.5735814804)	58
94	Malta	410405.68678057427	696153.7275993741	182.0	POINT (410405.68678057427 696153.7275993741)	76
95	Rio de Janeiro	-10588863.153005451	-4258924.375983714	196.0	POINT (-10588863.153005451 -4258924.375983714)	72
96	Riga	843557.4062178921	3097649.308430635			7
