	placename	longitude	latitude	freq	geometry	id
62	Gotha	48754.62341628902	2356031.738703368	140.0	POINT (48754.62341628902 2356031.738703368)	68
63	Zürich	-108408.12021783002	1963194.2309453618	82.0	POINT (-108408.12021783002 1963194.2309453618)	96
64	Flensburg	-35500.58302244556	2777036.8783341246	145.0	POINT (-35500.58302244556 2777036.8783341246)	66
65	Bolderaa	838769.6376148027	3106278.23016156	180.0	POINT (838769.6376148027 3106278.23016156)	56
66	Lübeck	44674.17577585807	2676584.190687036	91.0	POINT (44674.17577585807 2676584.190687036)	88
67	Kronstadt	1083294.839511968	3501233.353969753	170.0	POINT (1083294.839511968 3501233.353969753)	59
68	Genf	-295058.1859562578	1841656.7245201985	135.0	POINT (-295058.1859562578 1841656.7245201985)	72
69	Braunschweig	35545.536822677095	2500553.7001472404	85.0	POINT (35545.536822677095 2500553.7001472404)	93
70	Semlin	815745.557255586	1743015.9520996609	104.0	POINT (815745.557255586 1743015.9520996609)	81
71	Dublin	-1058500.2070082165	2737707.8128476427	172.0	POINT (-1058500.2070082165 2737707.8128476427)	58
72	Charkow	1818368.2142817262	2585285.574635606	202.0	POINT (1818368.2142817262 2585285.574635606)	53
73	Tiflis	2798324.461616221	2025494.135913455	122.0	POINT (2798324.461616221 2025494.135913455)	76
74	Zagreb	461081.02103351924	1810124.28625423	135.0	POINT (461081.02103351924 1810124.28625423)	71
75	Kiew	1419352.8782927818	2505617.3178727897	214.0	POINT (1419352.8782927818 2505617.3178727897)	51
76	Pernau	834834.8617582255	3257827.629529839	159.0	POINT (834834.8617582255 3257827.629529839)	64
77	Ragusa	429780.8238119563	812259.7064455625	179.0	POINT (429780.8238119563 812259.7064455625)	57
78	Bordeaux	-829636.0558300844	1744478.803240321	158.0	POINT (-829636.0558300844 1744478.803240321)	65
79	Wilna	965092.8735605925	2869401.6673197807	140.0	POINT (965092.8735605925 2869401.6673197807)	69
80	Lemberg	-169150.64361798685	2163590.8290401585	103.0	POINT (-169150.64361798685 2163590.8290401585)	82
81	Italienische Grenze	162825.56355268127	1873080.3871000584	101.0	POINT (162825.56355268127 1873080.3871000584)	83
82	Windau	684938.6110340626	3119258.1407355755	196.0	POINT (684938.6110340626 3119258.1407355755)	54
83	Hongkong	8208471.20757572	6338325.704679408	119.0	POINT (8208471.20757572 6338325.704679408)	78
84	Calcutta	7301545.803733902	3533789.308562491	128.0	POINT (7301545.803733902 3533789.308562491)	74
85	Bonn	-202234.07607502473	2336405.3264402263	83.0	POINT (-202234.07607502473 2336405.3264402263)	95
86	Philadelphia	-5745174.431944727	5005918.656004601	94.0	POINT (-5745174.431944727 5005918.656004601)	86
87	Narwa	1015977.9709466662	3412144.192641985	93.0	POINT (1015977.9709466662 3412144.192641985)	87
88	Dünaburg	1012992.379044435	3014693.606032333	123.0	POINT (1012992.379044435 3014693.606032333)	75
89	Gent	-434123.09097721835	2385956.0061641764	88.0	POINT (-434123.09097721835 2385956.0061641764)	89
90	Kreutzburg	957392.4356909883	3072750.3051594626	96.0	POINT (957392.4356909883 3072750.3051594626)	84
91	Bremerhaven	-91928.86618821701	2640738.43898955	88.0	POINT (-91928.86618821701 2640738.43898955)	90
92	Fellin	897332.334970462	3268620.492421947	111.0	POINT (897332.334970462 3268620.492421947)	79
93	Mexiko	-8613798.916745279	6887146.632461916	88.0	POINT (-8613798.916745279 6887146.632461916)	92
94	Shanghai	7196201.647484698	7195404.702951693	122.0	POINT (7196201.647484698 7195404.702951693)	77
95	Wolmar	907457.9102489249	3177928.5777337323	88.0	POINT (907457.9102489249 3177928.5777337323)	91
96	Riga	843557.4062178921	3097649.308430635			8
