	placename	longitude	latitude	freq	geometry	id
82	Windau	-112463.81087583059	3227889.247122651	196.0	POINT (-112463.81087583059 3227889.247122651)	54
83	Hongkong	8905996.446386306	6645247.637259869	119.0	POINT (8905996.446386306 6645247.637259869)	78
84	Calcutta	5219312.684025408	3393165.774235064	128.0	POINT (5219312.684025408 3393165.774235064)	74
85	Bonn	-536685.9491986547	2092953.854524841	83.0	POINT (-536685.9491986547 2092953.854524841)	95
86	Philadelphia	-1185142.9286006894	3685214.071944659	94.0	POINT (-1185142.9286006894 3685214.071944659)	86
87	Narwa	1816331.1616012366	4871987.364012182	93.0	POINT (1816331.1616012366 4871987.364012182)	87
88	Dünaburg	1276226.499807301	2885813.65274525	123.0	POINT (1276226.499807301 2885813.65274525)	75
89	Gent	-223893.3310798892	2503058.139588357	88.0	POINT (-223893.3310798892 2503058.139588357)	89
90	Kreutzburg	4087954.514400678	2388006.1117490972	96.0	POINT (4087954.514400678 2388006.1117490972)	84
91	Bremerhaven	-374517.23510085896	2502716.4271841627	88.0	POINT (-374517.23510085896 2502716.4271841627)	90
92	Fellin	1373175.9751570255	4781510.466330923	111.0	POINT (1373175.9751570255 4781510.466330923)	79
93	Mexiko	-5778282.876046145	5750974.949643215	88.0	POINT (-5778282.876046145 5750974.949643215)	92
94	Shanghai	7353769.899508289	7297043.663078031	122.0	POINT (7353769.899508289 7297043.663078031)	77
95	Wolmar	1996084.6498833965	4545588.512923388	88.0	POINT (1996084.6498833965 4545588.512923388)	91
96	Riga	843557.4062178921	3097649.308430635		POINT (843557.4062178921 3097649.308430635)	8
