	placename	longitude	latitude	freq	geometry	id
0	Paris	-134491.51587357756	2438078.051048833	14859.0	POINT (-134491.51587357756 2438078.051048833)	0
1	London	-314125.72542226466	2621226.39328579	12612.0	POINT (-314125.72542226466 2621226.39328579)	1
2	Berlin	201497.84678156406	2509660.093541333	6494.0	POINT (201497.84678156406 2509660.093541333)	4
3	St. Petersburg	1209163.828841839	3645862.2788077537	7717.0	POINT (1209163.828841839 3645862.2788077537)	3
4	Wien	402733.3848876208	1897762.1149346163	7748.0	POINT (402733.3848876208 1897762.1149346163)	2
5	Madrid	-602106.8182197277	1805728.044158003	4302.0	POINT (-602106.8182197277 1805728.044158003)	5
6	Rom	140376.93047677027	1171340.5113197132	2358.0	POINT (140376.93047677027 1171340.5113197132)	8
7	Konstantinopel	2030902.597384308	488503.77431894327	3414.0	POINT (2030902.597384308 488503.77431894327)	6
8	Brüssel	-116522.30696974578	2524965.613961272	2224.0	POINT (-116522.30696974578 2524965.613961272)	10
9	Kopenhagen	-239734.55183582415	2749409.891095979	2231.0	POINT (-239734.55183582415 2749409.891095979)	9
10	München	150002.60750589264	2097129.7027120264	1828.0	POINT (150002.60750589264 2097129.7027120264)	11
11	Hamburg	19374.733044810593	2652116.2432320938	1392.0	POINT (19374.733044810593 2652116.2432320938)	13
12	Turin	-118131.94732518203	1796864.7824429597	1822.0	POINT (-118131.94732518203 1796864.7824429597)	12
13	Bern	-61656.53591421968	2068217.3004448675	1104.0	POINT (-61656.53591421968 2068217.3004448675)	19
14	Dorpat	1263253.2721420228	3766978.7507438036	271.0	POINT (1263253.2721420228 3766978.7507438036)	55
15	Stockholm	-541198.7671229966	3830506.688693204	1351.0	POINT (-541198.7671229966 3830506.688693204)	14
16	Warschau	548784.9642131864	1558709.4097212378	835.0	POINT (548784.9642131864 1558709.4097212378)	24
17	Dresden	122287.64895979955	2205079.314371245	1087.0	POINT (122287.64895979955 2205079.314371245)	20
18	Reval	765999.3630212566	4301576.601272194	243.0	POINT (765999.3630212566 4301576.601272194)	61
