placename	latitude	longitude	calendar
Archangelsk	64.5401	40.5433	j
Preßburg	48.14816	17.10674	g
Tours	47.39484	0.70398	g
Rostock	54.0887	12.14049	g
Luzern	47.05048	8.30635	g
Sanssouci	52.39886	13.06566	g
Beirut	33.89332	35.50157	j
Tuckum	56.96764	23.15554	j
Taschkent	41.26465	69.21627	j
Niederlanden	52.25	5.75	g
Parma	44.79935	10.32618	g
Metz	49.11911	6.17269	g
Tilsit	55.08392	21.87851	g
Regensburg	49.01513	12.10161	g
Peterhof	59.88333	29.9	j
Arensburg	53.67515	10.22593	j
Göttingen	51.53443	9.93228	g
Mexiko	19.42847	-99.12766	g
Altenburg	50.98763	12.43684	g
Helvoet	51.83333	4.13333	g
Tunis	36.81897	10.16579	g
Gibraltar	36.14474	-5.35257	g
Cettinje	42.39063	18.91417	j
Brünn	49.19522	16.60796	g
Teplitz	50.6404	13.82451	g
Walk	57.77781	26.0473	j
Leith	55.9713	-3.1723	g
Havre	49.4938	0.10767	g
Belfast	54.59682	-5.92541	g
Dessau	51.83864	12.24555	g
Cadix	36.52672	-6.2891	g
Livland	57.627445	26.132553	j
Swinemünde	53.91053	14.24712	g
Rastatt	48.85851	8.20965	g
Kasan	55.78874	49.12214	j
Meiningen	50.56787	10.41521	g
Oporto	41.14961	-8.61099	g
Ostende	51.21551	2.927	g
Shanghai	31.22222	121.45806	g
Orenburg	51.7727	55.0988	j
Trier	49.75565	6.63935	g
Jena	50.92878	11.5899	g
Zante	37.78022	20.89555	j
Nauplia	37.56863	22.80691	j
Orel	52.96508	36.07849	j
Grangemouth	56.01141	-3.72183	g
Ofen	47.5	19.03333	g
Oesterreich	47.33333	13.33333	g
Gravenhaag	52.07667	4.29861	g
Teheran	35.69439	51.42151	j
Livadia	45.20546	24.24192	g
Vlissingen	51.4425	3.57361	g
Malchin	53.7399	12.76539	g
Kissingen	50.20228	10.07784	g
Rustschuk	43.84872	25.9534	g
Zarskoje-Sselo	59.71417	30.39642	j
Saragossa	41.65606	-0.87734	g
Philippopel	42.15	24.75	j
Brandenburgischen	52.45905	13.01582	g
Bayreuth	49.94782	11.57893	g
Helgoland	54.18143	7.8863	g
Twer	56.85836	35.90057	j
Olmütz	49.59552	17.25175	g
Schellenberg	47.23123	9.54678	g
Baltischport	59.35667	24.05306	j
Boston	42.35843	-71.05977	g
Konstanz	47.66033	9.17582	g
Worms	49.63278	8.35916	j
Texel	53.08333	4.83333	g
Tirnowo	43.08124	25.62904	j
Porto	41.14961	-8.61099	g
Ssaratow	51.54056	46.00861	j
Graz	47.06667	15.45	g
Polnische Grenze	52.87908	18.79505	g
Rotterdam	51.9225	4.47917	g
Aberdeen	57.14369	-2.09814	g
Hermannstadt	45.8	24.15	g
Gastein	47.11547	13.13467	g
Saarbrücken	49.23262	7.00982	g
Glasgow	55.86515	-4.25763	g
Messina	38.19394	15.55256	g
Shields	54.99859	-1.4323	g
Plymouth	50.37153	-4.14305	g
Vlie	53.309587	5.198747	g
Hapsal	58.94306	23.54139	j
Arbroath	56.56317	-2.58736	g
Trapezunt	41.005	39.72694	j
Newport	51.58774	-2.99835	g
Linz	48.30639	14.28611	g
Speyer	49.32083	8.43111	g
Preußen	52.182289	14.95914	g
Caprera	41.2	9.46667	g
Astrachan	46.34968	48.04076	j
Charlottenburg	52.51667	13.28333	g
